Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Revenu élevé,HIC,27655.0496817395,28586.4541388722,29424.1661588952,30434.1741456415,32213.69905624,33856.5113862749,36200.7898610195,37794.3826569145,38593.4794261919,37611.0155547632,39252.1545238539,41018.10439943,42310.773810394,43641.1857626244,44910.2344216812,45610.3729131228,46806.8435064163,48813.4059228537,50811.1503929496,52769.8722480379,51296.3124850232,55868.5818103563,61413.1696749264
Chine, RAS de Hong Kong,HKG,28450,29470,29800,31980,35260,38280,42730,46700,49570,47240,50230,53710,52990,54710,55910,57450,58660,62440,65500,65260,62470,70840,73960
Honduras,HND,2480,2530,2580,2660,2810,3020,3230,3500,3650,3550,3550,3660,3690,3780,4020,4410,4690,5110,5250,5390,4940,5640,6220
Pays pauvres très endettés (PPTE),HPC,1253.74529342177,1299.6119812364,1330.11264358014,1376.85941932813,1453.38812478739,1545.14056945038,1641.32346702948,1734.86026913613,1819.85068801603,1860.93445388023,1922.74664558277,1992.95787142269,1990.53607524781,2063.60616473868,2243.37574022347,2296.96227828432,2386.88402106081,2451.95522406805,2536.11320878595,2617.38118113017,2587.78844798102,2717.16719773138,2969.40434501215
Croatie,HRV,10470,11410,12560,13240,14440,15080,17170,19120,20330,19510,19400,20450,20790,21760,22080,23520,24880,27210,28860,31690,30430,35460,40610
Haïti,HTI,2210,2210,2230,2310,2300,2400,2490,2630,2710,2850,2690,2860,2810,3000,3020,2950,3150,3210,3300,3260,3140,3180,3310
Hongrie,HUN,11170,12440,13700,14610,15270,16040,17250,17650,19360,19820,20720,21910,22280,23830,24530,25520,27190,28300,30660,33730,33350,35570,40450
BIRD seulement,IBD,4378.37603692046,4605.98326978759,4837.47783112096,5161.88685214831,5648.84492324734,6168.56648958075,6913.34498383403,7674.63834814711,8291.21807928298,8512.30104373089,9164.73394195862,9853.14744802821,10463.7423382924,10911.347063401,11261.7185504383,11344.1787930649,11742.5681770538,12370.9450112997,13159.2954444373,13795.3497973377,13608.405318768,15064.3962416042,16734.7951852202
BIRD et IDA,IBT,3791.9789882248,3977.57707766251,4161.49078722986,4424.49061545224,4823.06748441154,5250.2275310511,5850.73717285267,6462.52013911892,6950.35183895576,7123.69826525344,7633.35494489068,8167.54968163537,8639.55969911559,8996.65621740548,9292.81574353859,9360.71988165489,9668.48384043883,10140.3687119804,10749.5975024168,11230.5584670962,11050.1082827955,12154.7727406459,13434.6762224507
IDA totale,IDA,1729.21897869933,1794.35509254702,1840.325352806,1922.77416661936,2052.24185510902,2206.48510760737,2360.65010660531,2524.24546365035,2641.06891445495,2718.71343114299,2841.21470833387,2962.11229531287,3072.84159953089,3215.28341181283,3410.74370256853,3500.34778269631,3612.45495514396,3707.70972974345,3892.89022220005,4036.17850980149,3984.51680264994,4250.30362101658,4630.92830615972
IDA mélange,IDB,,,,,,,,,3648.26734917013,3743.73088804497,3898.50124626466,4059.86669105743,4198.47026755128,4368.03349198189,4595.17845348702,4686.69117656626,4759.3805522129,4837.14365508163,5060.29086684885,5194.8780171141,5097.1467623941,5489.40133781342,5980.59880505046
Indonésie,IDN,4370,4710,4970,5190,5490,5890,6360,6870,7370,7660,8210,8770,9370,9710,9890,9880,10150,10600,11320,11980,11830,12730,14250
IDA seulement,IDX,1361.34047683361,1419.32206079816,1465.18065993409,1533.98133376838,1630.9958281337,1753.11337536485,1877.80825749784,2022.24001931591,2140.66787098982,2208.48651801193,2313.74210534248,2413.68136922235,2510.73193937444,2640.10776153486,2821.28401021772,2912.01168606107,3048.01442748555,3155.410295261,3324.41801400047,3475.42648364977,3448.63406133857,3653.16823453053,3981.50826259413
Île de Man,IMN,,,,,,,,,,,,,,,,,,,,,,,
Inde,IND,2070,2180,2260,2440,2660,2920,3200,3500,3610,3870,4170,4430,4770,4950,5130,5350,5710,6050,6520,6830,6430,7220,8230
Non classifié,INX,,,,,,,,,,,,,,,,,,,,,,,
Irlande,IRL,26340,27830,29530,31280,33430,35050,38790,40440,38230,34650,36320,36700,37520,40440,43260,53170,58340,62000,65690,69690,70720,80870,91090
Iran, République islamique d’,IRN,10890,11210,12190,13370,14050,14710,15710,17240,17380,17370,18350,19000,16870,16040,15790,13840,14680,15180,15120,14680,15220,16550,18230
Iraq,IRQ,10470,10550,9430,6020,9210,8510,9570,10310,11860,11920,12240,12810,14350,14450,12930,9120,8840,9900,10160,10680,9250,9600,10830
Islande,ISL,28670,30810,32660,32440,34360,35470,36340,38790,34050,33590,32160,34550,36690,42100,43500,46470,50990,53920,54290,59540,53100,55520,65920
Israël,ISR,24170,24700,25120,23790,25310,25410,26240,28140,27460,27310,28830,30820,31580,34040,34510,35480,37730,39140,40040,40460,39700,43460,49330
